File,Shot,KB,Nội dung,Ghi chú
HMB01.png,HMB01,HM-KB3,"Cha ngồi dậy từ giường uể oải, nhìn ra cửa sổ.",
HMB02.png,HMB02,HM-KB3,Cha đứng dậy kéo rèm cho phòng sáng.,
HMB03.png,HMB03,HM-KB3,Cận note sổ tay thay đổi của ba mẹ.,
HMB04.png,HMB04,HM-KB3,Ba bước lên cân.,
HMD01.png,HMD01,HM-KB1,Bàn ăn đủ món (thịt/cá/rau/canh) + ly sữa.,
HMD02.png,HMD02,HM-KB1,Mẹ cầm ly sữa lên uống.,
HMD02_2.png,HMD02,HM-KB1,Mẹ cầm ly sữa lên uống.,Bản trùng HMD02
HMD03.png,HMD03,HM-KB2,Ba mẹ ăn nui/súp (món dễ tiêu).,
HMD04.png,HMD04,HM-KB4,OTS HCP (video call): mẹ ngồi ăn một mình.,HCP nhận video call — gán tạm cho OTS video call
HMD05.png,HMD05,HM-KB4,"Trọn vẹn mẹ ăn một mình, cầm điện thoại nói chuyện với con.",
HMD06.png,HMD06,HM-KB4,"Mẹ ăn cơm một mình, gắp vài miếng rồi bỏ đũa.",
HMD07.png,HMD07,HM-KB4,"Kết: ông bà ăn trái cây (tinh gọn), trò chuyện vui vẻ.",
HME01.png,HME01,HM-KB1,Cha mẹ chạy bộ gần nhà.,"Cặp đôi ngoài cổng/đi dạo — có thể HME02, cần xác nhận"
HME02.png,HME02,HM-KB1,"Kết: ba mẹ đi dạo, chụp hình buổi chiều.",
HMG01.png,HMG01,HM-KB3,"Ba mẹ ăn nhẹ ngoài vườn, uống 1 ly sữa.",
HMG02.png,HMG02,HM-KB3,Kết: mẹ dìu ba từ trong nhà ra dạo ngoài sân.,
HMG02_2.png,HMG02,HM-KB3,Kết: mẹ dìu ba từ trong nhà ra dạo ngoài sân.,Bản trùng HMG02 (đi dạo)
HMK01.png,HMK01,HM-KB2,Ba mẹ nấu ăn ở bếp; món nấu mềm cắt nhỏ.,
HMK02.png,HMK02,HM-KB4,Mẹ cho đồ ăn từ nồi vào hộp.,
HML02.png,HML02,HM-KB1,"HCP phòng khách nhận cuộc gọi của bạn, lắng nghe (hook).","HCP nhận cuộc gọi — gán tạm (NA gốc), cần xác nhận"
HML03.png,HML03,HM-KB1,Cận HCP chăm chú nghe và trả lời.,"Cận HCP — gán tạm (NA gốc), cần xác nhận"
HML04.png,HML04,HM-KB1,HCP ngồi sofa chia sẻ (chính diện).,"HCP ngồi sofa chia sẻ — gán tạm (NA gốc), cần xác nhận"
HML05.png,HML05,HM-KB1,"Bình nước lớn ở bàn, mẹ rót nước uống.",
HML06.png,HML06,HM-KB2,"Cha mẹ xem TV, ăn trái cây.",
HML07.png,HML07,HM-KB2,Cận điện thoại báo nhắc: Uống nước!,
HML08.png,HML08,HM-KB2,Mẹ rót nước uống.,
HML09.png,HML09,HM-KB2,Kéo màn che nắng / xếp mền gối / thêm chậu cây.,
HML09_2.png,HML09,HM-KB2,Kéo màn che nắng / xếp mền gối / thêm chậu cây.,Bản trùng HML09 (thêm chậu cây)
HML10.png,HML10,HM-KB2,"Kết: cha mẹ xem lại hình gia đình, cười hạnh phúc.",
HML11.png,HML11,HM-KB4,Mẹ ngồi phòng khách trò chuyện với con qua điện thoại.,
HM_UNMATCHED_01.png,—,—,KHÔNG khớp shot nào trong JSON — cần bạn gán/ bổ sung shot
HM_UNMATCHED_02.png,—,—,KHÔNG khớp shot nào trong JSON — cần bạn gán/ bổ sung shot
HM_UNMATCHED_03.png,—,—,KHÔNG khớp shot nào trong JSON — cần bạn gán/ bổ sung shot
